YEAR,REPDTE,REPDTE_CLEAN,NAME,CERT,CITY,STALP,ASSET,DEP,ROA,ROE,NIM_PERCENT,NIM_DOLLARS,EEFFR,NALTOT,NAASSET,HAS_FULL_HISTORY
2022,20220331,3/31/2022,ANDERSON BROTHERS BANK,9923,MULLINS,SC,1518734,1384541,1.942935321,22.55,6.126679809,21064,55.98233823,0,3878,N
2024,20240331,3/31/2024,ANDERSON BROTHERS BANK,9923,MULLINS,SC,1938360,1738506,1.159222066,14.16,6.23296751,26877,62.7393082,,8526,N
2026,20260331,3/31/2026,ANDERSON BROTHERS BANK,9923,MULLINS,SC,2275809,2056739,1.481250526,16.7,6.095858628,31791,59.62850014,,10830,N
2024,20240331,3/31/2024,APEX BANK,9176,CAMDEN,TN,1297261,992154,2.557649558,18.38,5.464975236,16597,37.64247828,,5596,N
2026,20260331,3/31/2026,APEX BANK,9176,CAMDEN,TN,1406483,1090759,2.398731589,16.07,5.507642447,17886,37.11192485,,13180,N
2020,20200331,3/31/2020,ATLANTIC CAPITAL BANK NA,35525,ATLANTA,GA,2719322,2237057,0.435761431,3.32,3.377890569,21809,52.4713277,0,6250,N
2026,20260331,3/31/2026,BANK OF FAYETTE COUNTY,10308,PIPERTON,TN,1121513,969864,0.953622313,10.44,3.954971804,10428,66.75955056,,7054,N
2020,20200331,3/31/2020,BANK OF PUTNAM COUNTY,8432,COOKEVILLE,TN,1106075,993938,0.853510412,10.07,3.196915506,7877,73.3974958,0,539,Y
2020,20200331,3/31/2020,BANK OF TENNESSEE,21573,KINGSPORT,TN,1475366,1199709,1.404732009,15.26,3.904897825,12829,64.33158585,0,4632,Y
2022,20220331,3/31/2022,BANK OF TENNESSEE,21573,KINGSPORT,TN,1881819,1705434,1.614045556,19.42,3.448736391,14364,59.47855617,0,3149,Y
2024,20240331,3/31/2024,BANK OF TENNESSEE,21573,KINGSPORT,TN,1875869,1692418,1.247198298,14.97,3.239801098,14061,74.17061611,,4316,Y
2026,20260331,3/31/2026,BANK OF TENNESSEE,21573,KINGSPORT,TN,2120392,1852587,1.68971065,18.52,4.137935673,19993,58.82326521,,6621,Y
2022,20220331,3/31/2022,BANK OF TRAVELERS REST,16389,TRAVELERS REST,SC,1325035,1215666,1.239835525,15.53,2.541428011,7807,60.18234254,0,2647,N
2024,20240331,3/31/2024,BANK OF TRAVELERS REST,16389,TRAVELERS REST,SC,1398332,1279589,1.08147143,15.59,2.697093513,8733,65.68643648,,409,N
2026,20260331,3/31/2026,BANK OF TRAVELERS REST,16389,TRAVELERS REST,SC,1602060,1430674,1.914322356,21.82,3.194131511,11848,60.4663179,,1248,N
2022,20220331,3/31/2022,BANKSOUTH,16418,GREENSBORO,GA,1265770,1112030,0.984998927,10.86,3.309762999,9596,84.43702397,0,4242,N
2024,20240331,3/31/2024,BANKSOUTH,16418,GREENSBORO,GA,1293256,1104484,1.132528832,11.3,4.008117114,11999,77.85444543,,2630,N
2026,20260331,3/31/2026,BANKSOUTH,16418,GREENSBORO,GA,1617776,1399194,1.475998944,14.92,4.582500323,17128,70.30269325,,6576,N
2024,20240331,3/31/2024,BUILTWELL BANK,10307,CHATTANOOGA,TN,1804941,1594359,2.138899655,18.45,5.083793582,21232,46.44110175,,6181,Y
2026,20260331,3/31/2026,BUILTWELL BANK,10307,CHATTANOOGA,TN,2302796,2018333,2.041243325,18.2,4.738518812,25247,45.32063276,,7879,Y
2020,20200331,3/31/2020,CAPSTAR BANK,58823,NASHVILLE,TN,2071394,1774489,0.291528583,2.29,3.519483136,16661,60.52070375,0,3866,N
2022,20220331,3/31/2022,CAPSTAR BANK,58823,NASHVILLE,TN,3187662,2765396,1.40575883,11.34,2.992273365,21534,55.8719791,0,3502,N
2024,20240331,3/31/2024,CAPSTAR BANK,58823,NASHVILLE,TN,3040033,2563113,-0.57841717,-4.74,2.76500371,19529,122.1267454,,16312,N
2026,20260331,3/31/2026,CENTENNIAL BANK,8439,TREZEVANT,TN,1062984,935608,1.042418133,10.44,3.961341946,9827,58.97881209,,3682,N
2022,20220331,3/31/2022,CITIZENS BANK,14851,ELIZABETHTON,TN,1078316,915809,2.424508931,19.02,4.322054616,10674,54.97272107,0,1679,N
2024,20240331,3/31/2024,CITIZENS BANK,14851,ELIZABETHTON,TN,1235366,1050511,1.749944315,12.83,4.058388078,11811,61.36540884,,6688,N
2026,20260331,3/31/2026,CITIZENS BANK,15932,OLANTA,SC,1164386,1034963,1.167740593,11.17,4.195290268,11046,60.8838848,,1110,N
2026,20260331,3/31/2026,CITIZENS BANK,14851,ELIZABETHTON,TN,1401762,1159471,1.826905105,14.41,4.353091165,14298,57.76346724,,10098,N
2022,20220331,3/31/2022,CITIZENS BANK OF LAFAYETTE,1711,LAFAYETTE,TN,1493455,1333258,1.198172061,12.66,3.138024595,10808,56.45697758,0,6478,N
2024,20240331,3/31/2024,CITIZENS BANK OF LAFAYETTE,1711,LAFAYETTE,TN,1573074,1372621,0.854875747,9.49,3.13120836,11279,65.35581886,,5188,N
2020,20200331,3/31/2020,CITIZENS NATIONAL BANK,20954,SEVIERVILLE,TN,1111026,966283,1.830243888,15.48,4.033208403,10242,54.5283503,0,1295,Y
2022,20220331,3/31/2022,CITIZENS NATIONAL BANK,20954,SEVIERVILLE,TN,1622047,1473182,1.513217652,16.78,3.058493759,11536,53.15946349,0,1405,Y
2024,20240331,3/31/2024,CITIZENS NATIONAL BANK,20954,SEVIERVILLE,TN,1683240,1426758,1.193229283,14.74,2.961615772,12091,57.27626459,,3,Y
2026,20260331,3/31/2026,CITIZENS NATIONAL BANK,20954,SEVIERVILLE,TN,1959788,1748773,1.940512192,20.28,3.442145667,15986,43.43700291,,1,Y
2022,20220331,3/31/2022,CITIZENS TRI-COUNTY BANK,20818,DUNLAP,TN,1235523,1121103,1.635039475,18,3.262672472,9309,54.92576419,0,5185,N
2024,20240331,3/31/2024,CITIZENS TRI-COUNTY BANK,20818,DUNLAP,TN,1389931,1271401,1.505035662,19.8,3.344904076,10678,59.26979611,,6285,N
2026,20260331,3/31/2026,CITIZENS TRI-COUNTY BANK,20818,DUNLAP,TN,1653503,1498829,1.816877603,21.48,3.65403735,14012,54.18973791,,6734,N
2026,20260331,3/31/2026,COASTAL CAROLINA NB,58864,MYRTLE BEACH,SC,1277396,1152508,1.118719093,12.2,3.603543041,10989,56.38527205,,208,N
2024,20240331,3/31/2024,COASTAL STATES BANK,57756,HILTON HEAD ISLA,SC,2049528,1751499,0.555563329,5.87,3.379981694,15948,58.60700523,,3849,N
2026,20260331,3/31/2026,COASTAL STATES BANK,57756,HILTON HEAD ISLA,SC,2346155,2059588,1.105185254,10,3.607675355,19744,59.31898816,,18183,N
2022,20220331,3/31/2022,COASTALSTATES BANK,57756,HILTON HEAD ISLA,SC,1668204,1490918,0.974902067,11.23,3.139598094,12143,54.42729488,0,1992,N
2020,20200331,3/31/2020,COLONY BANK,22257,FITZGERALD,GA,1506239,1299757,0.499463322,4.57,3.726577486,13072,75.33939322,0,10643,Y
2022,20220331,3/31/2022,COLONY BANK,22257,FITZGERALD,GA,2682488,2385769,0.843530777,9.44,3.135738554,19382,74.66545543,0,6171,Y
2024,20240331,3/31/2024,COLONY BANK,22257,FITZGERALD,GA,3005346,2550264,0.769210676,8.17,2.804723523,19592,69.02469511,,6431,Y
2026,20260331,3/31/2026,COLONY BANK,22257,FITZGERALD,GA,3705164,3074075,0.940052276,8.68,3.496844598,30038,67.02515985,,17599,Y
2020,20200331,3/31/2020,COMMERCIAL BANK,22354,HARROGATE,TN,1496200,1255364,1.413448398,14.3,4.044259257,12954,52.92043962,0,14691,Y
2022,20220331,3/31/2022,COMMERCIAL BANK,22354,HARROGATE,TN,1719378,1454077,1.241896399,12.45,3.284780892,13004,52.18666849,0,3984,Y
2024,20240331,3/31/2024,COMMERCIAL BANK,22354,HARROGATE,TN,1935302,1604950,1.70917915,16.79,3.693273914,16548,44.28062216,,4694,Y
2026,20260331,3/31/2026,COMMERCIAL BANK,22354,HARROGATE,TN,2307886,1926860,1.814933743,16.88,3.843881477,20551,41.32429025,,5861,Y
2022,20220331,3/31/2022,COMMERCIAL BANK&TRUST CO,8660,PARIS,TN,1107908,1027334,1.233049759,15.54,2.707709361,7133,66.88305992,0,3215,N
2024,20240331,3/31/2024,COMMERCIAL BANK&TRUST CO,8660,PARIS,TN,1015999,930960,1.04937773,14.14,2.940974932,7189,72.79651795,,188,N
2026,20260331,3/31/2026,COMMERCIAL BANK&TRUST CO,8660,PARIS,TN,1096299,992142,1.182785366,13.65,3.406831308,8785,67.61320675,,997,N
